iter	PRAUC	Logloss
0	0.2529963382	0.649908939
5	0.2899234647	0.5012199539
10	0.3026019462	0.4237196359
15	0.3092798862	0.3812504471
20	0.3151880956	0.3574252674
25	0.3216898921	0.3433625538
30	0.3261301188	0.3346883051
35	0.3301933998	0.3289979442
40	0.3343833995	0.3251664281
45	0.3386486386	0.3222942793
50	0.3417603474	0.3200351225
55	0.3460964587	0.3182977576
60	0.3492601965	0.3167784588
65	0.3529049893	0.3153507468
70	0.3566659902	0.3140771139
75	0.3599060163	0.3129785626
80	0.3633794788	0.3119439984
85	0.3662268701	0.3108218933
90	0.3704308058	0.3099346307
95	0.3735784976	0.309096228
100	0.3770675085	0.3081876278
105	0.3799581215	0.3073431176
110	0.3830781043	0.3065918435
115	0.3857701855	0.3058563664
120	0.3887251047	0.3050330135
125	0.3913819491	0.3042785954
130	0.3942812342	0.3035333773
135	0.3973701742	0.3027534211
140	0.3999599244	0.3021222869
145	0.4026010993	0.3014260576
150	0.4059041689	0.300731761
155	0.4083428466	0.3001479664
160	0.4110783113	0.2994407849
165	0.4142616579	0.2987556367
170	0.4172186933	0.2981053296
175	0.4194555304	0.2975090365
180	0.421735942	0.2969109653
185	0.4237641651	0.2963802312
190	0.42572119	0.2959008053
195	0.4275796415	0.2953790908
200	0.4295621257	0.2948659834
205	0.4322721138	0.2943641633
210	0.4347208037	0.2937890532
215	0.4366725505	0.2932759201
220	0.4388644493	0.2928053591
225	0.4409683922	0.2922831291
230	0.4432397249	0.2917750469
235	0.4454043599	0.291286318
240	0.4480239607	0.2908165301
245	0.4502216379	0.2903475926
250	0.4527713257	0.2898537354
255	0.4549951444	0.2893826848
260	0.4571341167	0.2889753634
265	0.4597044126	0.2884613799
270	0.4620901884	0.2879570859
275	0.4641612121	0.287498946
280	0.4662969193	0.2870535365
285	0.468498	0.286550428
290	0.4707169869	0.2860558493
295	0.4730951271	0.2855805723
300	0.4747520546	0.2851738179
305	0.477080547	0.2847112714
310	0.4792398704	0.2842517142
315	0.4811373986	0.2838029031
320	0.4832973402	0.2833386557
325	0.4853421163	0.2828811601
330	0.487768518	0.2823865299
335	0.4900063682	0.2819338275
340	0.4920970279	0.2813996144
345	0.4944714097	0.2809175857
350	0.4965967725	0.2804976886
355	0.4985407588	0.2800095524
