iter	Passed	Remaining
0	173	346319
1	194	194420
2	217	144506
3	241	120734
4	267	106717
5	362	120422
6	389	110987
7	419	104409
8	450	99617
9	480	95619
10	599	108314
11	631	104695
12	663	101424
13	696	98750
14	732	96921
15	872	108167
16	904	105455
17	937	103186
18	971	101315
19	1005	99535
20	1137	107173
21	1171	105284
22	1205	103593
23	1239	102037
24	1273	100639
25	1425	108193
26	1458	106594
27	1493	105173
28	1526	103728
29	1560	102497
30	1700	107995
31	1735	106739
32	1769	105490
33	1803	104271
34	1837	103179
35	1978	107952
36	2013	106801
37	2045	105621
38	2079	104581
39	2116	103691
40	2257	107864
41	2292	106866
42	2329	106036
43	2367	105225
44	2402	104382
45	2543	108062
46	2580	107209
47	2615	106351
48	2649	105483
49	2683	104660
50	2823	107912
51	2858	107065
52	2893	106308
53	2928	105529
54	2963	104787
55	3103	107728
56	3135	106875
57	3171	106181
58	3206	105472
59	3242	104851
60	3383	107566
61	3418	106841
62	3452	106147
63	3500	105901
64	3535	105258
65	3678	107785
66	3713	107133
67	3747	106482
68	3782	105847
69	3816	105226
70	3956	107495
71	3992	106903
72	4027	106316
73	4062	105742
74	4103	105312
75	4242	107407
76	4278	106857
77	4312	106267
78	4347	105707
79	4380	105123
80	4519	107083
81	4554	106521
82	4591	106046
83	4627	105551
84	4664	105094
85	4805	106960
86	4840	106439
87	4876	105947
88	4909	105423
89	4943	104911
90	5084	106661
91	5118	106161
92	5153	105677
93	5187	105177
94	5224	104756
95	5366	106426
96	5400	105944
97	5438	105556
98	5474	105122
99	5508	104664
100	5649	106218
101	5684	105776
102	5720	105362
103	5756	104945
104	5791	104515
105	5933	106021
106	5969	105608
107	6003	105177
108	6042	104822
109	6075	104386
110	6216	105784
111	6249	105349
112	6285	104955
113	6320	104570
114	6355	104174
115	6500	105577
116	6536	105205
117	6574	104860
118	6608	104460
119	6644	104095
120	6788	105412
121	6822	105020
122	6856	104633
123	6891	104258
124	6925	103883
125	7069	105149
126	7103	104761
127	7137	104391
128	7171	104020
129	7209	103701
130	7351	104881
131	7386	104524
132	7421	104185
133	7455	103824
134	7491	103496
135	7636	104671
136	7672	104328
137	7707	103995
138	7741	103652
139	7775	103307
140	7917	104393
141	7951	104047
142	7985	103699
143	8020	103376
144	8053	103035
145	8195	104067
146	8230	103746
147	8267	103451
148	8303	103153
149	8338	102839
150	8477	103807
151	8512	103493
152	8548	103192
153	8585	102912
154	8620	102606
155	8759	103547
156	8794	103233
157	8828	102924
158	8863	102624
159	8898	102336
160	9042	103281
161	9074	102958
162	9109	102668
163	9144	102370
164	9177	102064
165	9320	102979
166	9355	102690
167	9393	102435
168	9429	102161
169	9467	101917
170	9612	102812
171	9649	102551
172	9686	102299
173	9723	102039
174	9761	101794
175	9905	102652
176	9945	102428
177	9983	102192
178	10022	101960
179	10062	101742
180	10207	102578
181	10246	102355
182	10286	102137
183	10324	101895
184	10360	101644
185	10508	102485
186	10547	102258
187	10584	102021
188	10623	101791
189	10663	101581
190	10809	102375
191	10846	102136
192	10887	101934
193	10930	101753
194	10969	101542
195	11118	102335
196	11157	102113
197	11197	101909
198	11240	101732
199	11281	101537
200	11433	102334
201	11478	102167
202	11522	102003
203	11565	101821
204	11607	101640
205	11755	102378
206	11793	102155
207	11834	101961
208	11874	101755
209	11914	101557
210	12061	102268
211	12099	102048
212	12138	101836
213	12177	101633
214	12219	101451
215	12367	102143
216	12406	101942
217	12446	101740
218	12485	101535
219	12521	101313
220	12680	102075
221	12720	101876
222	12758	101665
223	12801	101494
224	12841	101303
225	12988	101950
226	13025	101734
227	13060	101508
228	13098	101301
229	13136	101094
230	13284	101734
231	13322	101523
232	13360	101319
233	13399	101123
234	13437	100925
235	13585	101547
236	13623	101345
237	13662	101145
238	13699	100941
239	13737	100738
240	13882	101321
241	13921	101129
242	13959	100936
243	13998	100740
