feature,mean_abs_shap
HospAdmTime,0.2593412347465977
Temp_max6h,0.2133295126098403
Unit2,0.17452998565825614
WBC_max6h,0.10137940414608618
BUN_max6h,0.07882248102306272
Resp_mean12h,0.07711862236188013
HR_max6h,0.07612136979990153
FiO2_min6h,0.0691534388675777
Calcium_min6h,0.059333420137115164
SaO2_max6h,0.055714599656664004
Resp_min6h,0.05221110428504939
BUN_min6h,0.051019813642053574
FiO2_was_missing,0.050478245518538245
SBP_max6h,0.041897837642418674
SaO2_std12h,0.041254998566582185
Hgb_min6h,0.03884596793896948
SBP_min6h,0.03821152712050233
SBP_was_missing,0.03368752607293308
Gender,0.032506061748372915
DBP_was_missing,0.032102421649359725
Temp_was_missing,0.03186414116055162
Hct_min6h,0.031610107319538915
Age,0.02951729526909962
HR_std12h,0.028409446125403793
DBP_min6h,0.02821748940758343
Platelets_min6h,0.02736155126348887
SaO2_std6h,0.026552659616716563
FiO2_std6h,0.026377293866543982
HR_diff3h,0.025109502478087607
SBP,0.02377521311197551
Temp_min6h,0.02312341222082104
Resp_std3h,0.02307899545293517
O2Sat_min6h,0.02297414542494317
SaO2_mean3h,0.02284978438539109
FiO2_lag1,0.022770256012370933
Resp_mean6h,0.021286191082025903
MAP_min6h,0.021123437549497488
HR_mean12h,0.01851447792004721
FiO2_std3h,0.01827620598434316
MAP_was_missing,0.017612009803721993
MAP_max6h,0.016420316934802368
O2Sat_std12h,0.01577915153160738
HR,0.015741774241700805
FiO2,0.014366822153901287
HR_lag1,0.013914929821560777
Resp_std12h,0.013809863242185503
WBC_min6h,0.013798373515018631
FiO2_max6h,0.013525872199834999
DBP_max6h,0.013081845431875011
Unit1,0.01290167658333804
HR_min6h,0.012708202703338447
pH_max6h,0.012472657290208291
Resp_std6h,0.012456474435815582
PaCO2_max6h,0.01238990566564756
O2Sat_mean12h,0.012374730100824207
Resp_was_missing,0.011832647455955641
SaO2_mean12h,0.011629905953862308
Hgb_max6h,0.011002613736982057
pH_min6h,0.009796539247424825
Potassium_min6h,0.00958567543190209
DBP,0.00939758109285982
Glucose_min6h,0.009133123047787357
Platelets_max6h,0.008793081109353227
Resp_max6h,0.007805059894304081
PaCO2_min6h,0.006946266183660641
FiO2_mean12h,0.00671760593733652
Glucose_max6h,0.006240563735205493
Temp,0.005706215968147461
Temp_mean6h,0.0054665235878421994
O2Sat_max6h,0.004662957981522141
HR_lag6,0.004575850196119121
FiO2_std12h,0.004424368805306302
Calcium_max6h,0.004345062544175246
SaO2_was_missing,0.00421454252468772
FiO2_mean3h,0.004097030505265052
Resp,0.003995248087816062
SBP_lag1,0.003426963863809891
Hct_max6h,0.0032949221514365847
Temp_lag1,0.002994853299216611
Temp_lag6,0.0028079457952801734
SaO2_mean6h,0.0026365728800714426
Resp_lag6,0.002593984585085098
BUN_lag6,0.002586527231340008
HR_mean6h,0.00252911353909238
SaO2_lag6,0.0025133116147035687
O2Sat_mean3h,0.002402913077436223
Temp_mean3h,0.0021464579065063336
O2Sat_mean6h,0.001986145609160058
pH_was_missing,0.001974878166612408
HR_mean3h,0.0018643981544205286
O2Sat,0.0018362477749784961
HR_lag3,0.0017769621165242082
O2Sat_diff3h,0.0017261417535901998
DBP_lag3,0.0017128224350802823
SBP_lag6,0.0016826862810801375
SaO2_min6h,0.0016656433372638458
Calcium_was_missing,0.0016537009707012116
Resp_mean3h,0.0016460187979388545
O2Sat_std6h,0.0015763419041669125
HR_diff1h,0.0013407413179919313
HR_std3h,0.0013161580136850375
Potassium_max6h,0.0012932974825270696
FiO2_lag6,0.0012501154932541743
MAP_lag3,0.0011449178690339059
O2Sat_std3h,0.0011429413976393641
DBP_lag1,0.0011032556968255296
O2Sat_lag6,0.0010229109029018585
BUN,0.0009978160337478943
SBP_lag3,0.0008769090101014693
Hct_lag3,0.0007207330303585461
Hct,0.000645692103907844
Resp_lag1,0.0006076784982541967
SaO2_lag3,0.0004663171291640445
Resp_lag3,0.0
Hct_was_missing,0.0
WBC_was_missing,0.0
Platelets_lag1,0.0
MAP_lag1,0.0
FiO2_lag3,0.0
MAP,0.0
Hgb_lag1,0.0
O2Sat_diff1h,0.0
MAP_lag6,0.0
Resp_diff3h,0.0
Temp_lag3,0.0
O2Sat_slope3h,0.0
Glucose_was_missing,0.0
O2Sat_was_missing,0.0
Hct_lag1,0.0
BUN_was_missing,0.0
Resp_slope3h,0.0
O2Sat_lag3,0.0
Platelets_was_missing,0.0
SaO2,0.0
pH,0.0
PaCO2_lag1,0.0
pH_lag3,0.0
PaCO2,0.0
SaO2_lag1,0.0
PaCO2_was_missing,0.0
pH_lag1,0.0
Hgb_lag3,0.0
Resp_diff1h,0.0
Hgb,0.0
HR_was_missing,0.0
Hgb_was_missing,0.0
O2Sat_lag1,0.0
BUN_lag1,0.0
Potassium_was_missing,0.0
BUN_lag3,0.0
