,Early (Hour 1-6),Mid (Hour 7-24),Late (Hour 25+)
Temp_max6h,0.7243481302507092,0.7347272645298987,0.6644746865303686
BUN_max6h,0.31796250144271837,0.26480196772596704,0.20999938287415024
WBC_max6h,0.19420950147442365,0.21945464958509922,0.20865807626210972
Resp_mean12h,0.19908540803491534,0.15811309847005847,0.13633625610530078
MAP_max6h,0.16153017257311264,0.14781257602285444,0.14156019060119074
SaO2_mean12h,0.12207635441507597,0.12424022276167482,0.16250100059525768
Temp_min6h,0.10314411138979525,0.12310627494743848,0.1517960466644488
Unit2,0.13307915377969337,0.1145200856245103,0.11722433447634603
SaO2_max6h,0.0992399901793232,0.10647414407816957,0.12384582864869297
O2Sat_std12h,0.05243688362045106,0.1314802792283649,0.13385151458678096
