iter	Logloss
0	0.686286008
1	0.6800626148
2	0.6744585125
3	0.6693130857
4	0.6645974294
5	0.6603151128
6	0.6562636845
7	0.6526330159
8	0.6491871866
9	0.6459358512
10	0.6428922918
11	0.6400755834
12	0.6373546006
13	0.6348221435
14	0.632483595
15	0.6302808528
16	0.6281716714
17	0.6262118124
18	0.6242973588
19	0.6224030334
20	0.6206474983
21	0.6190536904
22	0.6173821785
23	0.6159572947
24	0.6144565208
25	0.6129793858
26	0.611764677
27	0.6104737271
28	0.6091189406
29	0.6079325516
30	0.6067803921
31	0.605815588
32	0.6047546487
33	0.6037707697
34	0.6027770022
35	0.6018807156
36	0.6009288426
37	0.6000704718
38	0.5992209948
39	0.5983609857
40	0.5974999819
41	0.5966792343
42	0.5957169462
43	0.5948616765
44	0.594171001
45	0.5933509556
46	0.5925737409
47	0.5919672057
48	0.5912223481
49	0.5905582956
50	0.5898865195
51	0.5891786415
52	0.5884879076
53	0.5878518823
54	0.5870166237
55	0.5864882605
56	0.5859318701
57	0.585181922
58	0.5845516309
59	0.5837913846
60	0.583180461
61	0.5825512231
62	0.5820527596
63	0.5815263272
64	0.5809093769
65	0.580316709
66	0.579725972
67	0.5792316628
68	0.5787709394
69	0.5783057106
70	0.5778266145
71	0.5773994185
72	0.5770096116
73	0.5765616439
74	0.5760234507
75	0.5754445331
76	0.5750080922
77	0.5744863994
78	0.5740708472
79	0.5735868361
80	0.5730142378
81	0.572590377
82	0.5720048476
83	0.5715695184
84	0.5711939885
85	0.5706982165
86	0.5702822548
87	0.5699750084
88	0.5695507965
89	0.5690512797
90	0.5686270093
91	0.5682281331
92	0.5678507893
93	0.5674323701
94	0.5668944694
95	0.5663953622
96	0.5660717909
97	0.5656052164
98	0.5652782514
99	0.5647287654
100	0.564358443
101	0.5639125232
102	0.5636522619
103	0.5632293373
104	0.5628975743
105	0.5624426436
106	0.5620857205
107	0.5617524363
108	0.5613220806
109	0.5610581331
110	0.5608102178
111	0.5604321133
112	0.5599973693
113	0.5595919398
114	0.5591867443
115	0.5587957672
116	0.5584539402
117	0.5579587533
118	0.5575976758
119	0.5571997943
120	0.5568101045
121	0.5565152626
122	0.5562843158
123	0.5558118315
124	0.555401487
125	0.5550463193
126	0.554729945
127	0.5543772347
128	0.5539018248
129	0.5535955146
130	0.5533377693
131	0.5529705481
132	0.552589401
133	0.5521599816
134	0.5518402721
135	0.5516327886
136	0.5512209813
137	0.5509297086
138	0.5505746579
139	0.5502317192
140	0.5499141161
141	0.5496187476
142	0.5493158311
143	0.5489759935
144	0.5487455148
145	0.5483709796
146	0.5480523233
147	0.5477134804
148	0.5473641053
149	0.5470916735
150	0.5467258566
151	0.5463337093
152	0.5460725118
153	0.5456986202
154	0.5454074061
155	0.5451583206
156	0.5448043816
157	0.5444667674
158	0.5441681222
159	0.54379347
160	0.5435216818
161	0.5432768092
162	0.5429398972
163	0.5425419572
164	0.5421644964
165	0.5418970381
166	0.5415663284
167	0.5412507147
168	0.5408751848
169	0.5406701003
170	0.5404253447
171	0.5401519767
172	0.5398281129
173	0.539591783
174	0.5392376684
175	0.5389772316
176	0.5386684638
177	0.5383138812
178	0.5380332577
179	0.5377842307
180	0.5374295896
181	0.5371274922
182	0.536886891
183	0.5366823331
184	0.536415811
185	0.5361074528
186	0.5358793146
187	0.535566568
188	0.5353160197
189	0.5350399602
190	0.5347963163
191	0.5344706386
192	0.5341615783
193	0.5338349059
194	0.5335625326
195	0.5332383177
196	0.5330724947
197	0.5328098344
198	0.5324897739
199	0.5321185738
200	0.5317907897
201	0.5314091745
202	0.5310811564
203	0.5307905858
204	0.5305157551
205	0.5302042958
206	0.5298951184
207	0.5296268995
208	0.5293580954
209	0.5290323007
210	0.5287691723
211	0.5284240101
212	0.5281193382
213	0.5278523481
214	0.52763246
215	0.5274174285
216	0.5271325921
217	0.5268378673
218	0.5265936968
219	0.5262881472
220	0.5259811348
221	0.5257435761
222	0.5254452235
223	0.5251541264
224	0.5249090782
225	0.5246214333
226	0.5244297481
227	0.5241753379
228	0.5239046615
229	0.523696944
230	0.5234664067
231	0.5232153903
232	0.5229613313
233	0.5227189162
234	0.5224983845
235	0.5221900263
236	0.5219334513
237	0.5217229252
238	0.5215182502
239	0.5213226447
240	0.5210992459
241	0.5208543148
242	0.5205902502
243	0.5203577235
244	0.5200239127
245	0.5197153205
246	0.5194358672
247	0.5192132291
248	0.5189295045
249	0.5187522717
250	0.518546017
