iter	Passed	Remaining
0	92	185136
1	104	104832
2	117	77975
3	129	64590
4	142	56784
5	154	51481
6	167	47628
7	180	45062
8	194	43065
9	206	41064
10	217	39351
11	228	37916
12	240	36780
13	252	35821
14	263	34899
15	274	34035
16	286	33400
17	299	32983
18	311	32426
19	323	32036
20	335	31626
21	346	31174
22	358	30798
23	369	30435
24	380	30048
25	392	29797
26	403	29506
27	415	29263
28	427	29034
29	438	28818
30	450	28614
31	461	28373
32	473	28213
33	485	28082
34	497	27935
35	507	27701
36	519	27555
37	530	27409
38	541	27237
39	552	27095
40	564	26967
41	576	26864
42	589	26844
43	602	26788
44	615	26748
45	626	26618
46	638	26534
47	648	26373
48	660	26296
49	673	26263
50	685	26192
51	697	26136
52	709	26077
53	721	26004
54	732	25915
55	742	25791
56	754	25706
57	765	25633
58	777	25584
59	788	25501
60	801	25478
61	814	25445
62	825	25385
63	837	25329
64	849	25301
65	863	25292
66	876	25277
67	887	25223
68	899	25164
69	909	25089
70	922	25054
71	934	25019
72	944	24937
73	955	24879
74	968	24851
75	980	24819
76	991	24757
77	1003	24735
78	1014	24669
79	1026	24640
80	1039	24624
81	1050	24578
82	1063	24559
83	1076	24547
84	1088	24526
85	1100	24498
86	1112	24466
87	1122	24398
88	1134	24369
89	1146	24328
90	1158	24296
91	1171	24286
92	1180	24207
93	1194	24215
94	1205	24172
95	1217	24145
96	1228	24104
97	1241	24095
98	1253	24067
99	1266	24055
100	1277	24012
101	1289	23989
102	1301	23964
103	1313	23939
104	1325	23917
105	1336	23888
106	1348	23862
107	1360	23838
108	1372	23813
109	1384	23786
110	1394	23739
111	1407	23718
112	1418	23685
113	1429	23654
114	1443	23657
115	1454	23621
116	1465	23589
117	1477	23558
118	1489	23550
119	1502	23533
120	1515	23527
121	1526	23503
122	1537	23461
123	1550	23454
124	1563	23452
125	1575	23428
126	1586	23400
127	1599	23397
128	1611	23368
129	1623	23349
130	1634	23323
131	1647	23307
132	1659	23292
133	1671	23281
134	1683	23261
135	1695	23236
136	1707	23223
137	1719	23198
138	1731	23179
139	1743	23158
140	1754	23135
141	1766	23113
142	1778	23092
143	1790	23075
144	1803	23073
145	1816	23066
146	1829	23059
147	1841	23037
148	1852	23015
149	1863	22979
150	1874	22959
151	1888	22956
152	1900	22947
153	1913	22933
154	1925	22913
155	1936	22891
156	1949	22888
157	1961	22867
158	1973	22852
159	1986	22840
160	1998	22824
161	2009	22799
162	2020	22774
163	2032	22750
164	2043	22726
165	2056	22716
166	2067	22693
167	2078	22664
168	2090	22651
169	2102	22637
170	2115	22628
171	2128	22620
172	2140	22608
173	2152	22591
174	2163	22565
175	2175	22541
176	2186	22521
177	2198	22507
178	2210	22485
179	2221	22463
180	2233	22444
181	2247	22446
182	2258	22423
183	2270	22408
184	2283	22402
185	2295	22385
186	2308	22378
187	2320	22362
188	2330	22335
189	2342	22319
190	2353	22293
191	2365	22276
192	2377	22257
193	2389	22244
194	2401	22228
195	2413	22209
196	2424	22187
197	2436	22171
198	2448	22160
199	2460	22142
200	2472	22126
201	2483	22107
202	2495	22093
203	2508	22084
204	2520	22069
205	2531	22046
206	2543	22029
207	2553	21998
208	2564	21979
209	2576	21958
210	2588	21943
211	2599	21920
212	2611	21913
213	2624	21900
214	2635	21884
215	2646	21858
216	2658	21840
217	2670	21827
218	2682	21814
219	2694	21802
220	2707	21791
221	2719	21783
222	2731	21769
223	2743	21753
224	2756	21744
225	2768	21730
226	2780	21713
227	2791	21692
228	2804	21687
229	2817	21681
230	2829	21670
231	2841	21655
232	2854	21649
233	2866	21633
234	2877	21612
235	2889	21594
236	2901	21586
237	2914	21574
238	2925	21557
239	2939	21554
240	2950	21534
241	2962	21517
242	2972	21493
243	2983	21474
244	2995	21459
245	3009	21455
246	3021	21443
247	3034	21434
248	3045	21415
249	3056	21394
250	3067	21374
